Pixel_Index,Ru,Rh,Pd,Ir,Pt
67,0.1953125,0.19921875,0.201171875,0.1953125,0.208984375
68,0.1953125,0.19921875,0.201171875,0.1953125,0.208984375
69,0.1953125,0.19921875,0.201171875,0.1953125,0.208984375
70,0.1953125,0.19921875,0.201171875,0.1953125,0.208984375
71,0.1953125,0.19921875,0.201171875,0.1953125,0.208984375
72,0.1953125,0.19921875,0.201171875,0.1953125,0.208984375
73,0.1953125,0.19921875,0.201171875,0.1953125,0.208984375
74,0.1953125,0.19921875,0.201171875,0.1953125,0.208984375
75,0.1953125,0.19921875,0.201171875,0.1953125,0.208984375
76,0.1953125,0.19921875,0.201171875,0.1953125,0.208984375
77,0.1953125,0.19921875,0.201171875,0.1953125,0.208984375
78,0.1953125,0.19921875,0.201171875,0.1953125,0.208984375
79,0.1953125,0.19921875,0.201171875,0.1953125,0.208984375
80,0.1953125,0.19921875,0.201171875,0.1953125,0.208984375
81,0.1953125,0.19921875,0.201171875,0.1953125,0.208984375
82,0.1953125,0.19921875,0.201171875,0.1953125,0.208984375
83,0.1953125,0.19921875,0.201171875,0.1953125,0.208984375
84,0.1953125,0.19921875,0.201171875,0.1953125,0.208984375
85,0.1953125,0.19921875,0.201171875,0.1953125,0.208984375
86,0.1953125,0.19921875,0.201171875,0.1953125,0.208984375
87,0.1953125,0.19921875,0.201171875,0.1953125,0.208984375
88,0.1953125,0.19921875,0.201171875,0.1953125,0.208984375
89,0.1953125,0.19921875,0.201171875,0.1953125,0.208984375
90,0.1953125,0.19921875,0.201171875,0.1953125,0.208984375
91,0.1953125,0.19921875,0.201171875,0.1953125,0.208984375
92,0.1953125,0.19921875,0.201171875,0.1953125,0.208984375
93,0.1953125,0.19921875,0.201171875,0.1953125,0.208984375
94,0.1953125,0.19921875,0.201171875,0.1953125,0.208984375
95,0.1953125,0.19921875,0.201171875,0.1953125,0.208984375
96,0.1953125,0.19921875,0.201171875,0.1953125,0.208984375
97,0.1953125,0.19921875,0.201171875,0.1953125,0.208984375
98,0.1953125,0.19921875,0.201171875,0.1953125,0.208984375
99,0.1953125,0.19921875,0.201171875,0.1953125,0.208984375
100,0.1953125,0.19921875,0.201171875,0.1953125,0.208984375
101,0.1953125,0.19921875,0.201171875,0.1953125,0.208984375
102,0.1953125,0.19921875,0.201171875,0.1953125,0.208984375
103,0.1953125,0.19921875,0.201171875,0.1953125,0.208984375
104,0.1953125,0.19921875,0.201171875,0.1953125,0.208984375
105,0.1953125,0.19921875,0.201171875,0.1953125,0.208984375
106,0.1953125,0.19921875,0.201171875,0.1953125,0.208984375
107,0.1953125,0.19921875,0.201171875,0.1953125,0.208984375
108,0.1953125,0.19921875,0.201171875,0.1953125,0.208984375
109,0.1953125,0.19921875,0.201171875,0.1953125,0.208984375
110,0.1953125,0.19921875,0.201171875,0.1953125,0.208984375
111,0.1953125,0.19921875,0.201171875,0.1953125,0.208984375
112,0.1953125,0.19921875,0.201171875,0.1953125,0.208984375
113,0.1953125,0.19921875,0.201171875,0.1953125,0.208984375
114,0.1953125,0.19921875,0.201171875,0.1953125,0.208984375
115,0.1953125,0.19921875,0.201171875,0.1953125,0.208984375
116,0.1953125,0.19921875,0.201171875,0.1953125,0.208984375
117,0.1953125,0.19921875,0.201171875,0.1953125,0.208984375
