Local_Index,Global_Index,Ru,Rh,Pd,Ir,Pt
498,653,0.16796875,0.2109375,0.21875,0.181640625,0.220703125
499,654,0.1796875,0.205078125,0.2109375,0.189453125,0.21484375
500,655,0.1875,0.203125,0.205078125,0.193359375,0.2109375
519,684,0.1953125,0.197265625,0.203125,0.197265625,0.20703125
520,685,0.193359375,0.197265625,0.203125,0.197265625,0.208984375
521,686,0.19140625,0.1953125,0.205078125,0.197265625,0.2109375
522,687,0.1875,0.19140625,0.208984375,0.1953125,0.216796875
523,688,0.18359375,0.189453125,0.21484375,0.193359375,0.21875
524,689,0.181640625,0.189453125,0.220703125,0.18359375,0.224609375
525,690,0.1796875,0.1953125,0.2265625,0.16796875,0.23046875
526,691,0.181640625,0.201171875,0.228515625,0.154296875,0.234375
527,692,0.185546875,0.205078125,0.2265625,0.154296875,0.228515625
528,693,0.1875,0.203125,0.220703125,0.1640625,0.224609375
529,694,0.1875,0.197265625,0.216796875,0.177734375,0.220703125
530,695,0.185546875,0.18359375,0.216796875,0.19140625,0.22265625
531,696,0.177734375,0.15625,0.228515625,0.205078125,0.232421875
532,697,0.14453125,0.125,0.25390625,0.21484375,0.26171875
533,698,0.078125,0.107421875,0.30078125,0.205078125,0.30859375
534,699,0.0234375,0.099609375,0.37109375,0.12890625,0.376953125
535,700,0.01171875,0.11328125,0.4140625,0.033203125,0.427734375
536,701,0.01171875,0.150390625,0.404296875,0.0,0.43359375
537,702,0.0234375,0.1953125,0.376953125,0.0,0.404296875
538,703,0.083984375,0.228515625,0.326171875,0.0234375,0.337890625
539,704,0.142578125,0.22265625,0.267578125,0.091796875,0.275390625
540,705,0.166015625,0.20703125,0.232421875,0.15625,0.23828125
541,706,0.162109375,0.197265625,0.224609375,0.185546875,0.23046875
542,707,0.140625,0.189453125,0.232421875,0.19921875,0.23828125
543,708,0.08984375,0.189453125,0.25390625,0.205078125,0.26171875
544,709,0.044921875,0.197265625,0.28125,0.189453125,0.287109375
545,710,0.017578125,0.21484375,0.306640625,0.1484375,0.3125
546,711,0.01953125,0.236328125,0.314453125,0.109375,0.3203125
547,712,0.046875,0.25,0.296875,0.1015625,0.3046875
548,713,0.099609375,0.23828125,0.263671875,0.12890625,0.26953125
549,714,0.154296875,0.220703125,0.232421875,0.158203125,0.234375
550,715,0.177734375,0.208984375,0.21484375,0.1796875,0.21875
551,716,0.185546875,0.203125,0.20703125,0.189453125,0.21484375
552,717,0.19140625,0.201171875,0.205078125,0.193359375,0.208984375
570,745,0.1953125,0.197265625,0.203125,0.197265625,0.20703125
571,746,0.19140625,0.1953125,0.205078125,0.197265625,0.2109375
572,747,0.1875,0.189453125,0.208984375,0.19921875,0.21484375
573,748,0.18359375,0.181640625,0.216796875,0.197265625,0.220703125
574,749,0.17578125,0.171875,0.228515625,0.189453125,0.234375
575,750,0.162109375,0.171875,0.24609375,0.16796875,0.251953125
576,751,0.154296875,0.18359375,0.263671875,0.12890625,0.26953125
577,752,0.158203125,0.201171875,0.271484375,0.09375,0.275390625
578,753,0.171875,0.212890625,0.259765625,0.08984375,0.265625
579,754,0.18359375,0.2109375,0.2421875,0.1171875,0.24609375
580,755,0.185546875,0.19921875,0.228515625,0.15234375,0.234375
581,756,0.185546875,0.18359375,0.22265625,0.181640625,0.2265625
582,757,0.181640625,0.15625,0.228515625,0.19921875,0.234375
583,758,0.16015625,0.123046875,0.25,0.212890625,0.25390625
584,759,0.10546875,0.1015625,0.287109375,0.2109375,0.294921875
585,760,0.0546875,0.091796875,0.3359375,0.16796875,0.349609375
586,761,0.025390625,0.11328125,0.357421875,0.087890625,0.416015625
587,762,0.02734375,0.162109375,0.32421875,0.03515625,0.451171875
588,763,0.064453125,0.201171875,0.2890625,0.03125,0.4140625
589,764,0.115234375,0.21875,0.271484375,0.06640625,0.328125
590,765,0.15625,0.205078125,0.251953125,0.123046875,0.263671875
591,766,0.16796875,0.1953125,0.23046875,0.16796875,0.23828125
592,767,0.162109375,0.181640625,0.228515625,0.19140625,0.236328125
593,768,0.12890625,0.16796875,0.24609375,0.205078125,0.251953125
594,769,0.0703125,0.16015625,0.28125,0.203125,0.28515625
595,770,0.01953125,0.162109375,0.328125,0.158203125,0.33203125
596,771,0.009765625,0.181640625,0.36328125,0.07421875,0.37109375
597,772,0.01171875,0.21484375,0.369140625,0.02734375,0.376953125
598,773,0.021484375,0.24609375,0.349609375,0.02734375,0.35546875
599,774,0.080078125,0.251953125,0.298828125,0.0625,0.306640625
600,775,0.146484375,0.23046875,0.248046875,0.123046875,0.251953125
601,776,0.177734375,0.212890625,0.220703125,0.1640625,0.224609375
602,777,0.185546875,0.205078125,0.208984375,0.185546875,0.21484375
603,778,0.19140625,0.201171875,0.205078125,0.19140625,0.2109375
622,807,0.189453125,0.19140625,0.20703125,0.19921875,0.212890625
623,808,0.18359375,0.1796875,0.21484375,0.201171875,0.220703125
624,809,0.17578125,0.16015625,0.228515625,0.203125,0.232421875
625,810,0.1484375,0.146484375,0.25390625,0.189453125,0.26171875
626,811,0.111328125,0.146484375,0.294921875,0.14453125,0.302734375
627,812,0.087890625,0.166015625,0.333984375,0.0703125,0.341796875
628,813,0.08984375,0.1953125,0.33984375,0.025390625,0.349609375
629,814,0.1171875,0.21875,0.31640625,0.0234375,0.32421875
630,815,0.158203125,0.220703125,0.27734375,0.05859375,0.28515625
631,816,0.1796875,0.20703125,0.244140625,0.119140625,0.25
632,817,0.18359375,0.189453125,0.228515625,0.166015625,0.232421875
633,818,0.18359375,0.1640625,0.2265625,0.193359375,0.232421875
634,819,0.17578125,0.134765625,0.23828125,0.208984375,0.2421875
635,820,0.1484375,0.111328125,0.259765625,0.212890625,0.267578125
636,821,0.11328125,0.107421875,0.291015625,0.20703125,0.28125
637,822,0.1015625,0.138671875,0.2734375,0.19140625,0.294921875
638,823,0.115234375,0.1875,0.208984375,0.15234375,0.3359375
